Year	Month	Day	Hour	InstallationId	CloudCover	Humidity	Pressure	Rain6h	Temperature	Visibility	WindSpeed	WindDirection	WindGust	AirlyCaqi
2020	3	27	23	18730	0	64	1009.7	0	3.6	6000	2	90	0	84
2020	3	28	0	18730	0	63	1009.5	0	3.4	10000	2	78	0	79
2020	3	28	1	18730	0	62	1009	0	3.2	12000	2	83	0	82
2020	3	28	2	18730	0	71	1008.7	0	1.2	12000	2	86	0	82
2020	3	28	3	18730	0	64	1008.5	0	2.4	12000	3	93	0	82
2020	3	28	4	18730	1	62	1008.4	0	2.5	12000	2	90	0	77
2020	3	28	5	18730	2	67	1008.3	0	0.9	12000	1	54	0	77
2020	3	28	6	18730	2	68	1008.2	0	3	12000	2	93	0	75
2020	3	28	7	18730	3	46	1008.1	0	7.1	14000	2	129	0	80
2020	3	28	8	18730	1	41	1008	0	9.7	15000	2	134	0	73
2020	3	28	9	18730	0	37	1007.7	0	12.2	15000	2	127	0	68
2020	3	28	10	18730	1	32	1007.3	0	14.2	15000	2	133	0	58
2020	3	28	11	18730	0	27	1006.6	0	15.8	20000	3	166	0	53
2020	3	28	12	18730	0	24	1006	0	16.7	25000	3	132	0	50
2020	3	28	13	18730	0	25	1005.1	0	16.8	30000	2	157	0	42
2020	3	28	14	18730	0	23	1004.4	0	17.1	30000	3	255	0	41
2020	3	28	15	18730	1	24	1003.9	0	16.4	30000	3	317	0	40
2020	3	28	16	18730	0	27	1003.5	0	15.6	30000	4	322	0	51
2020	3	28	17	18730	2	32	1003.4	0	13.7	20000	3	307	0	73
2020	3	28	18	18730	3	43	1003.7	0	10.4	13000	2	325	0	84
2020	3	28	19	18730	0	54	1004	0	8.9	9000	2	317	0	77
2020	3	28	20	18730	7	58	1003.7	0	8.3	7000	2	305	0	67
2020	3	28	21	18730	7	63	1003.7	0	7.7	10000	4	321	0	62
2020	3	28	22	18730	7	62	1003.6	0	7.1	10000	4	323	0	66
2020	3	28	23	18730	5	69	1003.4	0	5.1	10000	3	319	0	67
2020	3	29	0	18730	5	72	1003.1	0	5.3	10000	4	318	0	63
2020	3	29	1	18730	5	73	1002.9	0	4.1	10000	4	313	0	58
2020	3	29	2	18730	7	75	1002.7	0	3.1	12000	4	310	0	58
2020	3	29	3	18730	7	72	1002.6	0	3.6	15000	5	317	0	58
2020	3	29	4	18730	7	70	1002.9	0	3.5	15000	5	315	0	58
2020	3	29	5	18730	7	74	1003.3	0	3.3	15000	5	311	0	59
2020	3	29	6	18730	7	78	1003.9	0	3.5	12000	4	313	0	60
2020	3	29	7	18730	7	75	1004.7	0	4.4	13000	4	333	0	61
2020	3	29	8	18730	8	71	1005.4	0	5.9	18000	6	23	0	58
2020	3	29	9	18730	8	68	1006	0	5.9	25000	7	20	0	35
2020	3	29	10	18730	8	69	1006.8	0	5.8	25000	7	13	0	32
2020	3	29	11	18730	8	74	1007.5	0	4.5	30000	8	31	13	34
2020	3	29	12	18730	7	85	1008.1	0.1	3.5	20000	9	10	0	17
2020	3	29	13	18730	7	83	1008.7	0	3.5	30000	9	16	0	17
2020	3	29	14	18730	7	81	1009.1	0	3.5	35000	8	11	13	29
